food_id,food_title,num_rating,avg_rating,kcal,tags
1,Pierogi z mięsem,228,6.11,1351,"ostry, Wegetariański"
2,Pulpeciki w sosie pomidorowym,956,8.74,1272,"łagodny, Vegan"
3,Pierogi z kapustą i grzybami,448,1.17,1221,"średni, Mięsny"
4,Makaron ze szpinakiem,138,9.42,1429,"średni, Wegetariański"
5,Pulpeciki w sosie pomidorowym,186,5.03,1023,"średni, Mięsny"
6,Gulasz wieprzowy,164,9.32,994,"średni, Mięsny"
7,Filet z kurczaka z ziemniakami i surówką,407,8.89,1196,"ostry, Wegetariański"
8,Lasagne,271,2.46,1292,"łagodny, Wegetariański"
9,Naleśniki ze szpinakiem,343,6.44,1149,"ostry, Wegetariański"
10,Makaron z serem,447,1.4,1412,"łagodny, Vegan"
11,Bigos z kiszonej kapusty,655,8.48,951,"ostry, Wegetariański"
12,Gołąbki,597,7.74,1198,"ostry, Vegan"
13,Filet z indyka z ziemniakami i surówką,983,9.92,1053,"ostry, Mięsny"
14,Makaron z tuńczykiem,874,8.29,1476,"ostry, Wegetariański"
15,Lasagne,516,8.41,1396,"średni, Wegetariański"
16,Makaron z tuńczykiem,295,2.03,1038,"łagodny, Wegetariański"
17,Kotlet mielony z ziemniakami i surówką,801,9.64,989,"średni, Mięsny"
18,Naleśniki ze szpinakiem,985,2.28,1344,"ostry, Mięsny"
19,Naleśniki ze szpinakiem,672,5.48,1459,"średni, Wegetariański"
20,Bigos z kiszonej kapusty,576,2.22,1262,"ostry, Wegetariański"
21,Pierogi z kapustą i grzybami,817,4.04,964,"ostry, Mięsny"
22,Kotlet schabowy z ziemniakami i surówką,899,4.42,1369,"ostry, Wegetariański"
23,Filet z indyka z ziemniakami i surówką,976,6.35,1115,"łagodny, Vegan"
24,Naleśniki ze szpinakiem,816,5.77,917,"średni, Wegetariański"
25,Pierogi z mięsem,677,5.75,1497,"łagodny, Mięsny"
26,Gulasz wieprzowy,932,1.3,1233,"średni, Vegan"
27,Pierogi z mięsem,863,7.45,1378,"ostry, Vegan"
28,Placki ziemniaczane,658,4.57,1468,"ostry, Mięsny"
29,Bigos z kiszonej kapusty,348,9.04,1135,"średni, Mięsny"
30,Pierogi ze szpinakiem i serem feta,949,7.57,1431,"średni, Mięsny"
31,Pierogi z mięsem,508,6.65,1098,"średni, Wegetariański"
32,Kotlet schabowy z ziemniakami i surówką,667,5.33,1151,"średni, Mięsny"
33,Pierogi z mięsem,207,7.63,1006,"ostry, Mięsny"
34,Gulasz wieprzowy,111,8.25,967,"łagodny, Mięsny"
35,Spaghetti bolognese,835,4.15,1213,"średni, Vegan"
36,Filet z indyka z ziemniakami i surówką,330,8.83,1493,"średni, Mięsny"
37,Naleśniki z serem i sosem owocowym,403,6.61,968,"ostry, Wegetariański"
38,Gołąbki,232,6.5,999,"średni, Mięsny"
39,Makaron z serem,873,2.59,1241,"łagodny, Mięsny"
40,Kotlet schabowy z ziemniakami i surówką,719,3.46,1060,"średni, Vegan"
41,Filet z indyka z ziemniakami i surówką,884,9.71,1159,"łagodny, Mięsny"
42,Pierogi z kapustą i grzybami,996,5.35,1238,"ostry, Vegan"
43,Pierogi ze szpinakiem i serem feta,581,7.36,1011,"średni, Mięsny"
44,Spaghetti carbonara,917,3.47,962,"ostry, Mięsny"
45,Pierogi z mięsem,581,4.36,1292,"średni, Wegetariański"
46,Kotlet schabowy z ziemniakami i surówką,632,7.41,953,"średni, Vegan"
47,Gulasz wieprzowy,220,2.29,1443,"ostry, Wegetariański"
48,Filet z indyka z ziemniakami i surówką,688,6.81,935,"łagodny, Vegan"
49,Makaron ze szpinakiem,850,5.47,1138,"ostry, Mięsny"
50,Filet z indyka z ziemniakami i surówką,161,3.52,1104,"ostry, Vegan"
51,Placki ziemniaczane,976,8.01,1437,"ostry, Mięsny"
52,Pulpeciki w sosie pomidorowym,379,8.88,1492,"średni, Vegan"
53,Makaron z serem,263,3.18,989,"średni, Mięsny"
54,Bigos z kiszonej kapusty,152,4.66,964,"średni, Vegan"
55,Pierogi ze szpinakiem i serem feta,704,3.86,1318,"łagodny, Mięsny"
56,Pulpeciki w sosie pomidorowym,753,7.79,1462,"ostry, Wegetariański"
57,Bigos z młodej kapusty,192,9.02,1359,"średni, Wegetariański"
58,Pierogi z kapustą i grzybami,117,2.62,1373,"średni, Mięsny"
59,Pierogi z kapustą i grzybami,997,6.48,1350,"ostry, Wegetariański"
60,Gołąbki,782,3.34,1255,"średni, Vegan"
61,Filet z indyka z ziemniakami i surówką,271,4.07,1234,"ostry, Mięsny"
62,Pierogi ruskie,563,6.6,966,"ostry, Vegan"
63,Bigos z kiszonej kapusty,814,6.88,1406,"łagodny, Wegetariański"
64,Kotlet mielony z ziemniakami i surówką,251,8.78,987,"łagodny, Wegetariański"
65,Filet z indyka z ziemniakami i surówką,598,2.37,1051,"łagodny, Vegan"
66,Kotlet schabowy z ziemniakami i surówką,812,3.01,1367,"ostry, Wegetariański"
67,Filet z kurczaka z ziemniakami i surówką,889,1.72,906,"ostry, Wegetariański"
68,Pierogi ze szpinakiem i serem feta,442,8.83,968,"łagodny, Wegetariański"
69,Filet z kurczaka z ziemniakami i surówką,951,2.42,952,"łagodny, Vegan"
70,Makaron z serem,391,8.52,1091,"średni, Vegan"
71,Kotlet mielony z ziemniakami i surówką,290,6.46,1357,"średni, Mięsny"
72,Naleśniki z serem i sosem owocowym,637,6.66,1402,"łagodny, Vegan"
73,Filet z indyka z ziemniakami i surówką,216,3.64,1367,"średni, Wegetariański"
74,Placki ziemniaczane po węgiersku,658,1.38,1176,"ostry, Wegetariański"
75,Pierogi ruskie,674,9.7,1110,"łagodny, Wegetariański"
76,Bigos z kiszonej kapusty,800,9.8,1480,"łagodny, Vegan"
77,Spaghetti carbonara,374,1.87,1093,"łagodny, Mięsny"
78,Gołąbki,152,3.6,1450,"łagodny, Mięsny"
79,Pierogi z owocami,119,2.67,960,"ostry, Wegetariański"
