food_id,food_title,num_rating,avg_rating,kcal,tags
1,Neapilotańska,717,4.06,144,"średni, Mięsny"
2,Ogórkowa z ryżem,749,5.44,93,"łagodny, Vegan"
3,Gulaszowa,876,8.95,48,"ostry, Vegan"
4,Zalewajka,481,9.39,89,"średni, Mięsny"
5,Mandu kuk,417,5.37,79,"ostry, Mięsny"
6,Czernina,951,8.27,69,"średni, Wegetariański"
7,Zupa z pokrzyw,965,6.06,98,"ostry, Wegetariański"
8,Buraczkowa z ziemniakami,211,8.54,45,"łagodny, Vegan"
9,Buraczkowa z ziemniakami,325,5.8,69,"łagodny, Vegan"
10,Zupa krem z soczewicy,227,5.8,88,"ostry, Wegetariański"
11,Ogórkowa z ryżem,187,7.69,48,"średni, Mięsny"
12,Węgierska,515,2.08,113,"średni, Mięsny"
13,Dyniowa,653,5.24,40,"łagodny, Vegan"
14,Rybna,372,8.82,73,"łagodny, Vegan"
15,Krem marchewkowo – jaglany z imbirem,726,3.12,23,"łagodny, Vegan"
16,Zupa krem pieczarkowa,582,8.11,122,"średni, Wegetariański"
17,Śródziemnomorska zupa warzywna,819,3.06,97,"średni, Wegetariański"
18,Zupa krem z warzyw,310,7.19,69,"łagodny, Wegetariański"
19,Krem z pieczonych pomidorów,501,7.02,143,"łagodny, Mięsny"
20,Jarzynowa,329,9.71,28,"łagodny, Vegan"
21,Krem porowy,470,1.04,77,"ostry, Wegetariański"
22,Zalewajka,348,9.53,29,"łagodny, Vegan"
23,Brokułowa,507,5.18,132,"łagodny, Mięsny"
24,Śródziemnomorska zupa warzywna,573,9.87,80,"średni, Mięsny"
25,Krem marchewkowo – jaglany z imbirem,340,4.55,30,"łagodny, Mięsny"
26,Zupa kowala,741,4.3,29,"średni, Vegan"
27,Flaki,632,6.15,147,"średni, Mięsny"
28,Tenzang kuk,725,6.36,71,"ostry, Wegetariański"
29,Zupa z pokrzyw,716,8.44,62,"łagodny, Vegan"
30,Tomato shorba,378,8.92,88,"łagodny, Wegetariański"
31,Zupa krem serowa,670,5.7,35,"średni, Wegetariański"
32,Kimczi kuk,802,8.07,41,"łagodny, Mięsny"
33,Zupa krem marchewkowo jabłkowa z imbirem,748,6.78,40,"średni, Wegetariański"
34,Zupa krem z soczewicy,961,9.74,71,"łagodny, Mięsny"
35,Zalewajka,225,6.08,22,"łagodny, Wegetariański"
36,Zupa indyjska palak,624,9.12,86,"łagodny, Wegetariański"
37,Jarzynowa,168,3.64,41,"ostry, Wegetariański"
38,Zupa krem z buraków,433,4.83,129,"średni, Wegetariański"
39,Minestrone,655,7.01,128,"średni, Mięsny"
40,Zupa krem pieczarkowa,190,2.69,28,"średni, Wegetariański"
41,Meksykańska,915,2.41,130,"ostry, Mięsny"
42,Krupnik na gęsto,502,3.21,103,"ostry, Mięsny"
43,Pieczarkowa z ziemniakami,444,5.25,47,"łagodny, Wegetariański"
44,Krem pomidorowy,375,4.85,124,"ostry, Vegan"
45,Serowa,283,3.93,25,"średni, Vegan"
46,Czernina,737,1.36,107,"średni, Mięsny"
47,Krem z cukinii,341,5.41,139,"ostry, Wegetariański"
48,Neapilotańska,910,2.19,122,"łagodny, Mięsny"
49,Rosół,229,7.89,66,"ostry, Wegetariański"
50,Miyok kuk,185,9.64,136,"ostry, Vegan"
51,Zupa krem z buraków,631,9.65,27,"łagodny, Vegan"
52,Grochowa,308,9.73,129,"średni, Vegan"
53,Śródziemnomorska zupa warzywna,699,5.37,143,"łagodny, Wegetariański"
54,Krem gazpacho,149,2.36,127,"ostry, Vegan"
55,Barszcz czerwony,997,2.96,80,"ostry, Wegetariański"
56,Ogórkowa z ryżem,908,9.52,62,"ostry, Wegetariański"
57,Yono kuk,286,6.69,55,"średni, Vegan"
58,Krupnik,338,3.54,134,"łagodny, Mięsny"
59,Grzybowa,835,4.7,52,"łagodny, Mięsny"
60,Krem dyniowy,408,8.1,147,"ostry, Mięsny"
61,Kimczi kuk,177,1.85,136,"średni, Vegan"
62,Kwaśnica górala,399,5.58,21,"średni, Mięsny"
63,Krem z pieczonych pomidorów,407,3.1,110,"ostry, Vegan"
64,Węgierska,267,2.14,131,"łagodny, Vegan"
65,Krem porowy,363,8.05,58,"łagodny, Vegan"
66,Hobak czuk z dyni,638,1.49,120,"średni, Wegetariański"
67,Zupa krem z warzyw,185,2.91,61,"ostry, Mięsny"
68,Dal shorbha,262,4.15,71,"średni, Vegan"
69,Pomidorowa na gęsto,111,5.3,55,"ostry, Mięsny"
70,Pomidorowa na gęsto,109,9.07,144,"średni, Mięsny"
71,Yono kuk,916,3.74,104,"łagodny, Wegetariański"
72,Pieczarkowa z ziemniakami,633,4.47,26,"ostry, Vegan"
73,Solianka,217,8.22,35,"łagodny, Vegan"
74,Kwaśnica,311,6.79,75,"ostry, Vegan"
75,Minestrone,115,2.17,98,"średni, Vegan"
76,Hobak czuk z dyni,205,1.71,76,"średni, Mięsny"
77,Buraczkowa z ziemniakami,325,8.96,31,"średni, Mięsny"
78,Krem szpinakowy,301,3.27,21,"średni, Mięsny"
79,Krem z cukinii,504,1.1,101,"średni, Vegan"
80,Dyniowa,506,1.25,98,"łagodny, Vegan"
81,Krem pomidorowy,537,1.05,60,"średni, Mięsny"
82,Kwaśnica,970,9.77,147,"średni, Wegetariański"
83,Tomato shorba,369,8.73,69,"ostry, Wegetariański"
84,Hobak czuk z dyni,819,3.63,118,"średni, Wegetariański"
85,Zalewajka,240,1.91,116,"ostry, Mięsny"
86,Zupa krem z warzyw,279,7.4,83,"ostry, Vegan"
87,Rybna,141,9.03,79,"łagodny, Vegan"
88,Cebulowa z grzankami,759,3.96,81,"ostry, Vegan"
89,Yono kuk,790,2.71,55,"łagodny, Vegan"
90,Barszcz czerwony,568,6.55,68,"łagodny, Wegetariański"
91,Kimczi kuk,809,8.47,95,"ostry, Wegetariański"
