food_id,food_title,num_rating,avg_rating,kcal,tags
1,Puszyste naleśniki z twarożkiem i jagodami,978,9.02,275,"łagodny, Vegan"
2,Tortilla z jajkiem i bekonem,506,6.13,206,"łagodny, Vegan"
3,Kanapki z dodatkami,113,1.23,500,"ostry, Vegan"
4,Jajecznica na maśle z dodatkiem mleka,959,5.67,376,"łagodny, Vegan"
5,Kanapki z dodatkami,451,9.62,235,"łagodny, Vegan"
6,Croque monsieur z serem gouda,873,3.81,353,"łagodny, Wegetariański"
7,Jaglanka z gruszką i cynamonem,427,5.73,479,"łagodny, Wegetariański"
8,Jajecznica na maśle z dodatkiem mleka,533,5.67,357,"łagodny, Mięsny"
9,Ciabatta z indykiem,777,7.89,202,"łagodny, Wegetariański"
10,Racuszki jogurtowe,353,4.53,464,"łagodny, Vegan"
11,Lane kluski na mleku,366,6.84,328,"ostry, Wegetariański"
12,Ciabatta z indykiem,249,7.83,204,"średni, Vegan"
13,Racuchy z jabłkiem,704,8.78,364,"łagodny, Mięsny"
14,Lane kluski na mleku,234,3.32,314,"ostry, Wegetariański"
15,Kasza jaglana z jabłkami i cynamonem,807,1.85,403,"średni, Vegan"
16,Kanapki z dodatkami,278,3.88,316,"ostry, Vegan"
17,Omlet cesarski,134,4.23,237,"ostry, Vegan"
18,Omlet cesarski,474,6.03,346,"średni, Wegetariański"
19,Omlet cesarski,240,6.74,231,"ostry, Wegetariański"
20,Owsianka z dodatkami,217,6.32,327,"średni, Mięsny"
21,Puszyste naleśniki z twarożkiem i jagodami,241,9.58,265,"łagodny, Wegetariański"
22,Smoothie z żółtych owoców,566,9.89,263,"ostry, Wegetariański"
23,Lane kluski na mleku,617,6.35,328,"łagodny, Vegan"
24,Kasza jaglana z jabłkami i cynamonem,799,1.37,323,"ostry, Vegan"
25,Ciabatta z indykiem,662,9.75,497,"łagodny, Vegan"
26,Racuszki jogurtowe,933,8.62,443,"ostry, Wegetariański"
27,Jajecznica na maśle z dodatkiem mleka,279,6.04,435,"łagodny, Mięsny"
28,Kasza manna na mleku,533,8.92,289,"łagodny, Vegan"
29,Jajka w kokilkach,367,5.11,332,"łagodny, Mięsny"
30,Jajecznica na maśle z dodatkiem mleka,189,7.4,256,"łagodny, Wegetariański"
31,Jajka w kokilkach,664,3.03,431,"ostry, Mięsny"
32,Ciabatta z indykiem,591,7.29,500,"średni, Vegan"
33,Croque monsieur z serem gouda,264,9.38,246,"ostry, Vegan"
34,Ciabatta z indykiem,702,5.94,351,"łagodny, Mięsny"
35,Jajka w kokilkach,844,8.93,323,"średni, Mięsny"
36,Tortilla z jajkiem i bekonem,320,4.79,399,"ostry, Wegetariański"
37,Kasza manna na mleku,747,6.61,305,"łagodny, Mięsny"
38,Omlet cesarski,973,9.35,392,"łagodny, Mięsny"
39,Racuchy z jabłkiem,140,1.54,336,"łagodny, Mięsny"
40,Jajka w kokilkach,498,6.08,313,"ostry, Vegan"
41,Tortilla z jajkiem i bekonem,797,6.51,477,"średni, Wegetariański"
42,Omlet cesarski,182,2.33,348,"ostry, Mięsny"
43,Racuchy z jabłkiem,396,1.81,433,"ostry, Mięsny"
44,Jajka w kokilkach,279,2.46,299,"średni, Vegan"
45,Kanapki z dodatkami,174,8.67,459,"łagodny, Wegetariański"
46,Owsianka z dodatkami,369,7.19,268,"ostry, Wegetariański"
47,Kasza manna na mleku,896,1.84,266,"łagodny, Vegan"
48,Kanapki z dodatkami,337,3.91,208,"łagodny, Mięsny"
49,Racuchy z jabłkiem,251,6.35,381,"średni, Vegan"
50,Racuchy z jabłkiem,250,6.38,482,"średni, Mięsny"
