,food_id,food_title,num_rating,avg_rating,kcal,tags
0,1,Pierogi z mięsem,228,6.11,1351,"ostry, Wegetariański"
1,2,Pulpeciki w sosie pomidorowym,956,8.74,1272,"łagodny, Vegan"
2,3,Pierogi z kapustą i grzybami,448,1.17,1221,"średni, Mięsny"
3,4,Makaron ze szpinakiem,138,9.42,1429,"średni, Wegetariański"
4,5,Pulpeciki w sosie pomidorowym,186,5.03,1023,"średni, Mięsny"
5,6,Gulasz wieprzowy,164,9.32,994,"średni, Mięsny"
6,7,Filet z kurczaka z ziemniakami i surówką,407,8.89,1196,"ostry, Wegetariański"
7,8,Lasagne,271,2.46,1292,"łagodny, Wegetariański"
8,9,Naleśniki ze szpinakiem,343,6.44,1149,"ostry, Wegetariański"
9,10,Makaron z serem,447,1.4,1412,"łagodny, Vegan"
10,11,Bigos z kiszonej kapusty,655,8.48,951,"ostry, Wegetariański"
11,12,Gołąbki,597,7.74,1198,"ostry, Vegan"
12,13,Filet z indyka z ziemniakami i surówką,983,9.92,1053,"ostry, Mięsny"
13,14,Makaron z tuńczykiem,874,8.29,1476,"ostry, Wegetariański"
14,15,Lasagne,516,8.41,1396,"średni, Wegetariański"
15,16,Makaron z tuńczykiem,295,2.03,1038,"łagodny, Wegetariański"
16,17,Kotlet mielony z ziemniakami i surówką,801,9.64,989,"średni, Mięsny"
17,18,Naleśniki ze szpinakiem,985,2.28,1344,"ostry, Mięsny"
18,19,Naleśniki ze szpinakiem,672,5.48,1459,"średni, Wegetariański"
19,20,Bigos z kiszonej kapusty,576,2.22,1262,"ostry, Wegetariański"
20,21,Pierogi z kapustą i grzybami,817,4.04,964,"ostry, Mięsny"
21,22,Kotlet schabowy z ziemniakami i surówką,899,4.42,1369,"ostry, Wegetariański"
22,23,Filet z indyka z ziemniakami i surówką,976,6.35,1115,"łagodny, Vegan"
23,24,Naleśniki ze szpinakiem,816,5.77,917,"średni, Wegetariański"
24,25,Pierogi z mięsem,677,5.75,1497,"łagodny, Mięsny"
25,26,Gulasz wieprzowy,932,1.3,1233,"średni, Vegan"
26,27,Pierogi z mięsem,863,7.45,1378,"ostry, Vegan"
27,28,Placki ziemniaczane,658,4.57,1468,"ostry, Mięsny"
28,29,Bigos z kiszonej kapusty,348,9.04,1135,"średni, Mięsny"
29,30,Pierogi ze szpinakiem i serem feta,949,7.57,1431,"średni, Mięsny"
30,31,Pierogi z mięsem,508,6.65,1098,"średni, Wegetariański"
31,32,Kotlet schabowy z ziemniakami i surówką,667,5.33,1151,"średni, Mięsny"
32,33,Pierogi z mięsem,207,7.63,1006,"ostry, Mięsny"
33,34,Gulasz wieprzowy,111,8.25,967,"łagodny, Mięsny"
34,35,Spaghetti bolognese,835,4.15,1213,"średni, Vegan"
35,36,Filet z indyka z ziemniakami i surówką,330,8.83,1493,"średni, Mięsny"
36,37,Naleśniki z serem i sosem owocowym,403,6.61,968,"ostry, Wegetariański"
37,38,Gołąbki,232,6.5,999,"średni, Mięsny"
38,39,Makaron z serem,873,2.59,1241,"łagodny, Mięsny"
39,40,Kotlet schabowy z ziemniakami i surówką,719,3.46,1060,"średni, Vegan"
40,41,Filet z indyka z ziemniakami i surówką,884,9.71,1159,"łagodny, Mięsny"
41,42,Pierogi z kapustą i grzybami,996,5.35,1238,"ostry, Vegan"
42,43,Pierogi ze szpinakiem i serem feta,581,7.36,1011,"średni, Mięsny"
43,44,Spaghetti carbonara,917,3.47,962,"ostry, Mięsny"
44,45,Pierogi z mięsem,581,4.36,1292,"średni, Wegetariański"
45,46,Kotlet schabowy z ziemniakami i surówką,632,7.41,953,"średni, Vegan"
46,47,Gulasz wieprzowy,220,2.29,1443,"ostry, Wegetariański"
47,48,Filet z indyka z ziemniakami i surówką,688,6.81,935,"łagodny, Vegan"
